"","PCA_1","PCA_2"
"1",1.82641631760923,0.0643801246521856
"2",1.80416293912492,0.0634700744149676
"3",1.78190956064061,0.0625600241777496
"4",1.75965618215631,0.0616499739405316
"5",1.737402803672,0.0607399237033136
"6",1.71514942518769,0.0598298734660957
"7",1.69289604670339,0.0589198232288777
"8",1.67064266821908,0.0580097729916597
"9",1.64838928973477,0.0570997227544417
"10",1.62613594168548,0.0561889287583615
"11",1.60388260976496,0.0552777406135316
"12",1.58162927784444,0.0543665524687016
"13",1.55937594592392,0.0534553643238716
"14",1.5371226140034,0.0525441761790416
"15",1.51486928208289,0.0516329880342116
"16",1.49261595016237,0.0507217998893817
"17",1.47036253194396,0.0498127229326627
"18",1.44810906745303,0.0489047783226389
"19",1.42585550906749,0.0479991379806969
"20",1.40360184094789,0.0470961980678562
"21",1.3813480571099,0.0461961163884845
"22",1.35909422520148,0.0452972221835106
"23",1.33684039329306,0.0443983279785367
"24",1.31458656138463,0.0434994337735628
"25",1.29233242811549,0.042608032939589
"26",1.27007828202685,0.0417169508639294
"27",1.24782405523456,0.0408278895613203
"28",1.22556963605387,0.0399436595585867
"29",1.20331502770835,0.0390641979119117
"30",1.18106041936284,0.0381847362652367
"31",1.15880580255479,0.0373054899122433
"32",1.13655079901816,0.0364360865003363
"33",1.11429565122793,0.0355703833907517
"34",1.09204059163764,0.034702415772603
"35",1.06978587798168,0.0338256237071758
"36",1.0475316111578,0.0329375649448683
"37",1.02527791723529,0.0320352616062014
"38",1.00302493833618,0.0311154944529994
"39",0.980772973825657,0.0301715050121815
"40",0.958521595582744,0.0292138166399021
"41",0.936271598467438,0.0282245399129127
"42",0.914023306101419,0.0271976666278749
"43",0.891776043204196,0.0261488269052296
"44",0.869530396255333,0.0250661660573129
"45",0.847287007380093,0.0239380679119346
"46",0.825046298952704,0.0227582890911133
"47",0.802807792850294,0.0215378175811939
"48",0.780572396093593,0.0202618734794086
"49",0.758339850010669,0.0189372682168714
"50",0.736110391974114,0.0175618966833988
"51",0.713883473781853,0.0161460699058501
"52",0.691660555189996,0.0146686350291035
"53",0.6694428318385,0.0131150181181853
"54",0.647230273145835,0.0114892312140703
"55",0.625023022018849,0.00979248107844603
"56",0.602821968851437,0.00801653717003996
"57",0.580624896716545,0.00619148702244031
"58",0.558434000900729,0.0042927745883232
"59",0.536249225046197,0.0023238699479125
"60",0.514068593548269,0.000308829711950186
"61",0.491893963955673,-0.0017712629756437
"62",0.46972455067919,-0.00390624063867951
"63",0.447559994333551,-0.00609105668209198
"64",0.425398296968105,-0.00830469418377148
"65",0.403239122758199,-0.0105434519098988
"66",0.381081428782806,-0.0127968139452649
"67",0.35892414888818,-0.0150542439481647
"68",0.336766536293042,-0.0173084049934846
"69",0.314606881687839,-0.0195424026289647
"70",0.292443653041399,-0.0217406518224575
"71",0.270273992576638,-0.0238730036146545
"72",0.248099155869738,-0.0259507395798541
"73",0.225914775588878,-0.0279241126031264
"74",0.203720686543613,-0.0297849969905201
"75",0.181513023098434,-0.0314762771628926
"76",0.15929592793654,-0.0330375766274388
"77",0.13707262649277,-0.0345082378584998
"78",0.114835837590581,-0.035758527377252
"79",0.092592121509406,-0.0368801174798861
"80",0.0703386146067022,-0.0377864814885895
"81",0.0480798315814365,-0.0385515598623603
"82",0.0258157739602237,-0.0391444162300787
"83",0.0035478218437116,-0.0395673774758619
"84",-0.0187229586850504,-0.0397964129479974
"85",-0.040994484407913,-0.0399330518069484
"86",-0.0632664159450366,-0.039893907661862
"87",-0.0855377388612187,-0.0397258184367343
"88",-0.107807705354814,-0.0394272270137229
"89",-0.130075352078096,-0.0389884224645047
"90",-0.152340223558831,-0.0384265653843204
"91",-0.174601010910201,-0.0377222469496409
"92",-0.196858125570762,-0.0369090972428942
"93",-0.219109725411177,-0.035956954554193
"94",-0.241354477617691,-0.0348563572478932
"95",-0.263593817405829,-0.0336515311779736
"96",-0.28582568083092,-0.0323155583122208
"97",-0.30804851588458,-0.03083696829605
"98",-0.330265679860599,-0.029275736020831
"99",-0.352474155405809,-0.0275951832494277
"100",-0.374674285822513,-0.0258077132289413
"101",-0.396867043991117,-0.0239309262521533
"102",-0.419052452106779,-0.021969157141314
"103",-0.441230642755171,-0.019927442321962
"104",-0.463404311098125,-0.0178371430046021
"105",-0.485571750273613,-0.015681786054074
"106",-0.507734074374518,-0.0134744745897913
"107",-0.529891870990059,-0.0112221694156192
"108",-0.552044667894174,-0.00892119921832404
"109",-0.574192576636382,-0.00657362674953841
"110",-0.596335817855746,-0.00418242329911488
"111",-0.618473871994037,-0.00174366170532857
"112",-0.640607512309159,0.000734820503559198
"113",-0.662735372994921,0.00326440327547671
"114",-0.684856971378484,0.00584817298828581
"115",-0.706972076847271,0.00848694703096116
"116",-0.729078567849461,0.0111969103731683
"117",-0.751180502523039,0.0139437883360477
"118",-0.773273520011617,0.0167615102386587
"119",-0.795360307772469,0.0196276461551533
"120",-0.817439303478689,0.0225532114652868
"121",-0.839512391185345,0.025522985030415
"122",-0.86158049391986,0.0285296115571023
"123",-0.883642269710901,0.0315823197204168
"124",-0.90569928991623,0.0346691903917432
"125",-0.92775348952764,0.037776170420665
